,type,difficulty,category,question,correct_answer,incorrect_answers
0,multiple,easy,Entertainment: Music,"The band Muse released their first album, Showbiz, in what year?",1999,"['1998', '2000', '2001']"
1,multiple,easy,Entertainment: Music,Which group performs the song &quot;Crash into Me&quot;?,Dave Matthews Band,"['Phish', 'The Grateful Dead', 'Destiny&#039;s Child']"
2,multiple,easy,Entertainment: Music,The Rush song &quot;YYZ&quot; derives its name from the IATA aiport identification code for which city?,Toronto,"['Vancouver', 'Ottawa', 'Calgary']"
3,multiple,easy,Entertainment: Music,Kanye West&#039;s &quot;Gold Digger&quot; featured which Oscar-winning actor?,Jamie Foxx,"['Alec Baldwin', 'Dwayne Johnson', ' Bruce Willis']"
4,multiple,easy,Entertainment: Music,Who is the lead singer of the band Coldplay?,Chris Martin,"['Chris Isaak', 'Chris Wallace', 'Chris Connelly']"
5,multiple,easy,Entertainment: Music,What Led Zeppelin album contains &quot;Stairway to Heaven&quot;?,Led Zeppelin IV,"['Houses of the Holy', 'Physical Graffiti', 'Led Zeppelin III']"
6,multiple,easy,Entertainment: Music,"According to a song by Belinda Carlisle, Heaven is a place on what?",Earth,"['Venus', 'Mars', 'Uranus']"
7,multiple,easy,Entertainment: Music,&quot;Grande Valse&quot; is a phrase from the song &quot;Gran Vals&quot;. What is that song segment known as?,Nokia Tune,"['Hello Moto [Motorola Ringtone]', 'Droid Ringtone', 'Microsoft Ringtone']"
8,multiple,easy,Entertainment: Music,Where does the Mac part of the name Fleetwood Mac come from?,John McVie,"['Christine McVie', 'Mac McAnally', 'David Tennant']"
9,multiple,easy,Entertainment: Music,The Red Hot Chili Pepper song &quot;Give It Away&quot; is from what album?,Blood Sugar Sex Magik,"['One Hot Minute', 'By the Way', 'Stadium Arcadium']"
10,multiple,easy,Entertainment: Music,What 1970&#039;s American ballad referred to the 1959 plane crash as the &quot;the day the music died&quot;?,American Pie,"['Kentucky Rain', 'I Will Always Love You', 'Rock &#039;n&#039; Roll Suicide']"
11,multiple,easy,Entertainment: Music,Who is the lead singer of Arctic Monkeys?,Alex Turner,"['Jamie Cook', 'Matt Helders', 'Nick O&#039;Malley']"
12,multiple,easy,Entertainment: Music,Which one of these songs did the group &quot;Men At Work&quot; NOT make?,Safety Dance,"['Down Under', 'Who Can It Be Now?', 'It&#039;s a Mistake']"
13,multiple,easy,Entertainment: Music,Who is the lead singer of the British pop rock band Coldplay?,Chris Martin,"['Jonny Buckland', 'Guy Berryman', 'Will Champion']"
14,multiple,easy,Entertainment: Music,Whose signature guitar technique is called the &quot;windmill&quot;?,Pete Townshend,"['Jimmy Page', 'Eddie Van Halen', 'Jimi Hendrix']"
15,multiple,easy,Entertainment: Music,Finish these lyrics from the 2016 song &quot;Panda&quot; by Desiigner: &quot;I got broads in _______&quot;.,Atlanta,"['Savannah', 'Augusta', 'Marietta']"
16,multiple,easy,Entertainment: Music,What collaborative album was released by Kanye West and Jay-Z in 2011?,Watch the Throne,"['Distant Relatives', 'What a Time to be Alive', 'Unfinished Business']"
17,multiple,easy,Entertainment: Music,What was the best selling album of 2015?,"Adele, 25","['Fetty Wap, Fetty Wap', 'Taylor Swift, 1989', 'Justin Bieber, Purpose']"
18,multiple,easy,Entertainment: Music,Which Twitch streamer is the vocalist for Red Vox?,Vinesauce,"['The8BitDrummer', 'LIRIK', 'Sodapoppin']"
19,multiple,easy,Entertainment: Music,How many studio albums have the duo Daft Punk released?,4,"['1', '5', '2']"
20,multiple,easy,Entertainment: Music,What is the frontman&#039;s name of the metal band Megadeth?,Dave Mustaine,"['Rob Halford', 'Vince Neil', 'James Hetfield']"
21,multiple,easy,Entertainment: Music,Who had a 1983 hit with the song &#039;Africa&#039;?,Toto,"['Foreigner', 'Steely Dan', 'Journey']"
22,multiple,easy,Entertainment: Music,Which Disney character sings the song &quot;A Dream is a Wish Your Heart Makes&quot;?,Cinderella,"['Belle', 'Snow White', 'Pocahontas']"
23,multiple,easy,Entertainment: Music,Which band recorded the album &quot;Parallel Lines&quot;?,Blondie,"['Paramore', 'Coldplay', 'The Police']"
24,multiple,easy,Entertainment: Music,Which of these is the name of a song by Tears for Fears?,Shout,"['Scream', 'Yell', 'Shriek']"
25,multiple,easy,Entertainment: Music,"In the  Rossini opera, what was the name of &#039;The Barber of Seville&#039;?",Figaro,"['Angelo', 'Fernando', 'Dave']"
26,multiple,easy,Entertainment: Music,Who is the lead singer of Green Day?,Billie Joe Armstrong,"['Mike Dirnt', 'Sean Hughes', 'Tr&eacute; Cool']"
27,multiple,easy,Entertainment: Music,"&quot;Doctor Jones&quot;, &quot;Turn Back Time&quot; and &quot;Barbie Girl&quot; were UK number ones for which Eurodance group?",Aqua,"['Vengaboys', 'Eiffel 65', 'Sash!']"
28,multiple,easy,Entertainment: Music,The 2016 song &quot;Starboy&quot; by Canadian singer The Weeknd features which prominent electronic artist?,Daft Punk,"['deadmau5', 'Disclosure', 'DJ Shadow']"
29,multiple,easy,Entertainment: Music,Which Beatles album does NOT feature any of the band members on it&#039;s cover?,The Beatles (White Album),"['Rubber Soul', 'Abbey Road', 'Magical Mystery Tour']"
30,multiple,easy,Entertainment: Music,Ringo Starr of The Beatles mainly played what instrument?,Drums,"['Bass', 'Guitar', 'Piano']"
31,multiple,easy,Entertainment: Music,Which famous rapper is featured in Jack &Uuml; (Skrillex and Diplo)&#039;s 2015 single called &quot;Febreze&quot;?,2 Chainz,"['Kendrick Lamar', 'Future', 'Fatman Scoop']"
32,multiple,easy,Entertainment: Music,"Which punk rock band released hit songs such as &quot;Californication&quot;, &quot;Can&#039;t Stop&quot; and &quot;Under the Bridge&quot;?",Red Hot Chilli Peppers,"['Green Day', 'Linkin Park', 'Foo Fighters']"
33,multiple,easy,Entertainment: Music,Which year was the album &quot;Year of the Snitch&quot; by Death Grips released?,2018,"['2013', '2017', '2011']"
34,multiple,easy,Entertainment: Music,Which brass instrument has the lowest pitch in an orchestra?,Tuba,"['Trumpet', 'Saxophone', 'Trombone']"
35,multiple,easy,Entertainment: Music,"Which band released songs suchs as &quot;Rio&quot;, &quot;Girls on Film&quot;, and &quot;The Reflex&quot;?",Duran Duran,"['The Cure', 'New Order', 'Depeche Mode']"
36,multiple,easy,Entertainment: Music,"Sting, the lead vocalist of The Police, primarily plays what instrument?",Bass Guitar,"['Drums', 'Guitar', 'Keyboards']"
37,multiple,easy,Entertainment: Music,Who is the lead singer of Pearl Jam?,Eddie Vedder,"['Ozzy Osbourne', 'Stone Gossard', 'Kurt Cobain']"
38,multiple,easy,Entertainment: Music,&quot;Hallelujah&quot; is a song written by which Canadian recording artist?,Leonard Cohen,"['Kory Lefkowits', 'Ryan Letourneau ', 'Justin Bieber ']"
39,multiple,easy,Entertainment: Music,Which of the following songs did Elton John perform following Princess Diane&#039;s passing?,Candles in the Wind,"['I Guess That&#039;s Why They Call It The Blues', 'Your Song', 'Island Girl']"
40,multiple,easy,Entertainment: Music,"In Mean Girls, who has breasts that tell when it&#039;s raining?",Karen Smith,"['Gretchen Weiners', 'Janice Ian', 'Cady Heron']"
41,multiple,easy,Entertainment: Music,Which of the following is not a studio album by the band Pink Floyd?,Moving Pictures,"['The Dark Side of the Moon', 'Wish You Were Here', 'Animals']"
42,multiple,easy,Entertainment: Music,"What is the stage name of English female rapper Mathangi Arulpragasam, who is known for the song &quot;Paper Planes&quot;?",M.I.A.,"['K.I.A.', 'C.I.A.', 'A.I.A.']"
43,multiple,easy,Entertainment: Music,&quot;Some people call me the space cowboy&quot; is the first line from what song?,The Joker,"['Fandango', 'Take The Money and Run', 'Fly Like an Eagle']"
44,multiple,easy,Entertainment: Music,Who was featured in the song &quot;Words&quot; by Feint? ,Laura Brehm,"['Anna Yvette ', 'Danyka Nadeau', 'Veela']"
45,multiple,easy,Entertainment: Music,Which classical composer wrote the &quot;Moonlight Sonata&quot;?,Ludvig Van Beethoven,"['Chief Keef', 'Wolfgang Amadeus Mozart', 'Johannes Brahms']"
46,multiple,easy,Entertainment: Music,Brian May was the guitarist for which band?,Queen,"['Pink Floyd', 'Rolling Stones', 'The Doors']"
47,multiple,easy,Entertainment: Music,What was Daft Punk&#039;s first studio album?,Homework,"['Discovery', 'Random Access Memories', 'Human After All']"
48,multiple,easy,Entertainment: Music,Which Canadian reggae musician had a 1993 hit with the song &#039;Informer&#039;?,Snow,"['Rain', 'Hail', 'Sleet']"
49,multiple,easy,Entertainment: Music,How many strings are there on a cello?,4,"['5', '6', '8']"
